category,star,degree,branch,code,aux_num,verse,mansion28,seven_governors
畢,火,4,卯,畢火4卯,3.0,盆內金菊朵朵黃，丹桂秋深吐清香。一門雨露從天降，九月十六降畫堂。,,
畢,火,4,亥,畢火4亥,5.0,己亥運臨旺家門，出入利益百福增。萬朵紅花開雨後，一輪明月照乾坤。,,
畢,火,6,卯,畢火6卯,10.0,星宿遇仇減卯福，不登金榜享天祿。暫居國學榮身體，他日聲名達帝郭。,,
畢,火,8,未,畢火8未,1.0,一枝好花子結成，二十歲上生兒童。門前榮耀風光喜，父母堂前長笑容。,,
畢,火,8,卯,畢火8卯,6.0,火星入卯八度纏，手足行中仔細參。紫荊樹下分造化，兄弟三人你居三。,,
畢,火,10,未,畢火10未,7.0,子刻生人鴛鴦分，前妻必定喪青春。重婚再娶鸞鳳對，月老配合屬猴人。,,
畢,火,12,亥,畢火12亥,9.0,火纏月烏入亥宮，母親屬鼠壽先終。父命屬馬春光好，看養蘭桂振家聲。,,
畢,火,12,未,畢火12未,4.0,閠六月正季夏天，初十降生是元辰。前世種定今生福，暮景堂前福祿榮。,,
畢,火,16,亥,畢火16亥,2.0,火入亥宮是天門，陰陽相配秉乾坤。父命屬豬高堂樂，母年屬龍壽延深。,,
畢,火,18,未,畢火18未,8.0,月老注定姻緣奇，赤繩繫定兩家足。妻宮己定大八歲，晚景恩光福祿齊。,,
畢,巨,1,子,畢巨1子,11.0,分宮過度論命星，頭上少髮手藝工。衣祿無窮處處有，早起晚眠任西東。,,
畢,巨,4,卯,畢巨4卯,12.0,畢宿纏巨驗雙親，四度過卯細推尋。母命屬猴先辭世，父命屬馬福壽增。,,
